**********************
Windows PowerShell transcript start
Start time: 20230509213818
Username: CPHA\BitlockerUser
RunAs User: CPHA\BitlockerUser
Configuration Name: 
Machine: CPHA-WIN10-TEST (Microsoft Windows NT 10.0.19045.0)
Host Application: C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe -NoProfile -ExecutionPolicy Bypass -Command Import-Module 'c:\Users\bitlockeruser\.vscode\extensions\ms-vscode.powershell-2023.5.0\modules\PowerShellEditorServices\PowerShellEditorServices.psd1'; Start-EditorServices -HostName 'Visual Studio Code Host' -HostProfileId 'Microsoft.VSCode' -HostVersion '2023.5.0' -AdditionalModules @('PowerShellEditorServices.VSCode') -BundledModulesPath 'c:\Users\bitlockeruser\.vscode\extensions\ms-vscode.powershell-2023.5.0\modules' -EnableConsoleRepl -StartupBanner "PowerShell Extension v2023.5.0
Copyright (c) Microsoft Corporation.

https://aka.ms/vscode-powershell
Type 'help' to get help.
" -LogLevel 'Normal' -LogPath 'c:\Users\bitlockeruser\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\logs\1683671070-d4fce1c2-b220-4415-9279-3c026aeaa3021683671032491\EditorServices.log' -SessionDetailsPath 'c:\Users\bitlockeruser\AppData\Roaming\Code\User\globalStorage\ms-vscode.powershell\sessions\PSES-VSCode-15620-149733.json' -FeatureFlags @() 
Process ID: 14740
PSVersion: 5.1.19041.2673
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.19041.2673
BuildVersion: 10.0.19041.2673
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
Transcript started, output file is C:\Code\Intune\ManualScripted_MDMEnrollment\CleanupStaleComputers\logs\2023-05-09_21-38-18_Disable_Computers.log
2023-05-09 21:38:25 - Successfully disabled CPHA2015-WS037
2023-05-09 21:38:25 - Successfully disabled CPHA2015-WS028
2023-05-09 21:38:25 - Successfully disabled CPHA2015-WS024
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS043
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS038
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS019
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS004
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS032
2023-05-09 21:38:26 - Successfully disabled CPHA-NB011
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS054
2023-05-09 21:38:26 - Successfully disabled CPHA2015-NB007
2023-05-09 21:38:26 - Successfully disabled CPHA2015-WS045
2023-05-09 21:38:26 - Successfully disabled CPHA-NB38
2023-05-09 21:38:26 - Successfully disabled CPHA-NB025
2023-05-09 21:38:27 - Successfully disabled CPHA2015-WS034
2023-05-09 21:38:27 - Successfully disabled CPHA2015-WS050
2023-05-09 21:38:27 - Successfully disabled CPHA-NB022
2023-05-09 21:38:27 - Successfully disabled CPHA2015-WS003
2023-05-09 21:38:27 - Successfully disabled CPHA-NB019
2023-05-09 21:38:27 - Successfully disabled CPHA-NB002
2023-05-09 21:38:27 - Successfully disabled CPHA-NB017
2023-05-09 21:38:27 - Successfully disabled CPHA-NB033
2023-05-09 21:38:27 - Successfully disabled CPHA-NB027
2023-05-09 21:38:27 - Successfully disabled CPHA2015-WS023
2023-05-09 21:38:27 - Successfully disabled CPHA-WS101
2023-05-09 21:38:28 - Successfully disabled CPHA2015-WS042
2023-05-09 21:38:28 - Successfully disabled CPHA2015-WS039
2023-05-09 21:38:28 - Successfully disabled CPHA2015-WS055
2023-05-09 21:38:28 - Successfully disabled CPHA2015-WS029
2023-05-09 21:38:28 - Successfully disabled CPHA-NB009
2023-05-09 21:38:28 - Successfully disabled CPHA-NB023
2023-05-09 21:38:28 - Successfully disabled CPHA-NB006
2023-05-09 21:38:28 - Successfully disabled CPHA-NB026
2023-05-09 21:38:28 - Successfully disabled CPHA-NB039
2023-05-09 21:38:28 - Successfully disabled CPHA-NB032
2023-05-09 21:38:29 - Successfully disabled CPHA-WS055
2023-05-09 21:38:29 - Successfully disabled CPHA-SURFACE1
2023-05-09 21:38:29 - Successfully disabled CPHA-NB041
2023-05-09 21:38:29 - Successfully disabled CPHA-UTIL
